dataset,pipeline,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,ap_mean,ap_std,train_time_mean,train_time_std,classifier_time_mean,classifier_time_std,pretrain_time_mean,pretrain_time_std,link_pred_time_mean,link_pred_time_std
GitHub Classification,SimpleGNN,0.8517771883289125,0.004793471146531464,0.8476186879405831,0.003952810903535069,0.7460025304444363,0.006070321819938698,0.7769483876715406,0.005895301564091128,0.7460025304444363,0.006070321819938748,,,2.1807615756988525,0.05803736292861423,2.1807615756988525,0.05803736292861423,,,0.0,0.0
GitHub Classification,SimpleGraphSAGE,0.860026525198939,0.0036761571686205617,0.8480111868415128,0.004775021883767611,0.7708814812957896,0.006426493806050502,0.797715861946745,0.006162699188645396,,,,,0.9491543769836426,0.1412667802263783,0.9491543769836426,0.1412667802263783,0.0,0.0,0.0,0.0
GitHub Classification,Struct-G Internal Classifier,0.8887267904509283,0.010336747847891722,0.8652382165485697,0.020800012639273432,0.8405059704219642,0.013764559736516448,0.8511013475596642,0.012769453186075527,0.8405059704219642,0.013764559736516392,,,101.16961641311647,2.9025223552629673,0.891971492767334,0.018803432031088425,100.27764492034913,2.892800388506762,0.0,0.0
GitHub Classification,Struct-G Structural Only Pretrain,0.8506631299734748,0.005718318604061032,0.8125361599168819,0.01299831316142307,0.7923249865738056,0.013080372462512832,0.8004659674916921,0.0061079702071555626,0.7923249865738056,0.01308037246251288,,,98.76918330192566,1.2698515770414847,0.951399850845337,0.021874830178542075,97.81778345108032,1.2585736428338021,0.0,0.0
GitHub Link Prediction,Deep GCN,0.4733266694859867,0.0794391319415264,0.48324184657119096,0.04782990706861953,0.9272769213025258,0.1521164482867353,0.6346737349667294,0.07772647631825691,0.7414058277461895,0.33029199066753917,0.79273123866911,0.2565921719018809,128.55182871818542,1.269248588230259,0.0,0.0,0.6989628791809082,0.8862263630576015,127.85286583900452,1.6933267077043228
GitHub Link Prediction,GPT-GNN,0.49952369764411886,0.0019720621730515597,0.4994677649526258,0.0019534316051705346,0.4686174416369423,0.05912841751191322,0.48197942526918547,0.032609707029414084,0.5004610003883083,0.002993994495348263,0.500628116624446,0.003278241869397664,3348.903018903732,41.254091092750045,0.0,0.0,2577.37282576561,31.512710550739403,771.5301931381225,10.580470297822497
GitHub Link Prediction,SimpleGAT,0.6663760788074274,0.005172688360546638,0.6136748286340623,0.00374920509218669,0.8982477552087873,0.008230990238048028,0.7291679767881074,0.004333544898700598,0.7715081588171605,0.0038002066474718075,0.7375202136758114,0.0046678451441675714,56.44082818031311,3.3294956948123886,0.0,0.0,,,56.44082818031311,3.3294956948123886
GitHub Link Prediction,SimpleGNN,0.6518182761842151,0.008967366995088264,0.5927823337583777,0.0067262367192730205,0.9705892529670253,0.0032964488097021534,0.7360095394382793,0.004697120900324421,0.9053674330491759,0.003939082535296081,0.9190002214135096,0.0037005368183548517,14.823051261901853,0.6375129907757936,0.0,0.0,,,14.823051261901853,0.6375129907757936
GitHub Link Prediction,SimpleGraphSAGE,0.6741007426541815,0.0035841754729707804,0.6231557430797766,0.0018888752014241,0.8809041007426541,0.009535100056727832,0.7299324030344982,0.004173746874055096,0.8319219710055112,0.0060579859414065925,0.8619448463113336,0.004268751829545803,135.45434455871583,9.779994928177233,0.0,0.0,0.0,0.0,135.45434455871583,9.779994928177233
GitHub Link Prediction,Struct-G Internal Classifier,0.7096767631562887,0.022192665361477265,0.9552192781734276,0.0064626599008459846,0.440281535425863,0.04965934289860637,0.6012528471999152,0.04567558973650766,0.8938486252123479,0.01758727735497469,0.899193982465911,0.012261499323167857,129.86688952445985,3.229958691426343,0.0,0.0,100.27764492034913,2.892800388506762,29.589244604110718,0.7345345313591684
GitHub Link Prediction,Struct-G Structural Only Pretrain,0.6790425471321979,0.010118487195591382,0.9610011414454267,0.004999851931054794,0.37324144215982236,0.021017067539735448,0.5373824397340237,0.02190826383981824,0.8325378753205829,0.04810324599137674,0.861067382851464,0.030225208406116755,140.14963030815125,1.5237071747435207,0.0,0.0,97.81778345108032,1.2585736428338021,42.33184685707092,1.1076607910119571
Deezer Classification,Deep GCN,0.5654679820374102,0.009230368713417376,0.5195765970678135,0.13983267568082094,0.5327122881129799,0.024907318356859724,0.46996542686201953,0.08590129669530978,,,,,199.28291277885438,2.5441573961935804,46.19936275482178,0.6397514189861921,153.0835500240326,2.9713552206355516,0.0,0.0
Deezer Classification,GPT-GNN,0.5547109775499381,0.004225926493859662,0.46630464693411244,0.11807122502139378,0.5005343462842518,0.0016231692351934824,0.36243295849286794,0.0048759805444263124,,,,,946.8117649555206,5.696981702978915,87.88172345161438,1.2780365525839248,858.9300415039063,4.452652203220574,0.0,0.0
Deezer Classification,SimpleGAT,0.6340463143008662,0.00613299981409639,0.6294853030507042,0.009214755402320543,0.6149139297475112,0.008537916096739701,0.6124896480233403,0.008635432615687088,0.6149139297475112,0.00853791609673968,,,48.35814871788025,0.6617096269093903,48.35814871788025,0.6617096269093903,,,0.0,0.0
